facname,addressnum,streetname,address,city,zipcode,boro,borocode,bin,bbl,commboard,nta,council,schooldist,censtract,factype,capacity,geometry,uid,latitude,longitude
(S6) ICL SH/FIRST STREET BROOKLYN - COMM.SVCS.,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),41b796526030a6addb4157f8f0ee74ab,,
(S7) ICL SH/OMH E. 98TH (S+C I)-COMM.SVCS.,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),4da09ddf78d5a510b38f35ce895b6fed,,
(S9) ICL SH/OMH E. 98TH (S+C II) - COMM. SVCS,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),ceb4a68fda2f5879298cd86435a48b84,,
(S:) ICL SH/SCATTERED SITE MICA-COMM.SVCS.,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),9ac2b73bcea5a8a113691c9bd7c01b5f,,
(S@) ICL SH/HUD FAMILY SCATTERED-COMM. SVCS.,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),4978ae545a860df026dd609eada60aaa,,
(SO) ICL SH/OMH SCATTERSITE (487 ST. MARKS) - COMM. SVCS,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),61df1a316c533bbad7a6fefffc4c9824,,
(S^) ICL SH/STEPPING STONE OMH-COMM. SVCS.,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),4d4930973e8ce2f9e50002fd766986ff,,
1199 FUTURE OF AMERICA LEARNING CENTER,2500,CRESTON AVENUE,2500 CRESTON AVENUE,BRONX,10468.0,Bronx,2.0,2013811.0,2031670001.0,207.0,BX05,14.0,52.0,040100,EARLY EDUCATION PROGRAM,,POINT (-73.89745729383341 40.8629946441076),e692a63f737424a20fddcf99daa2becc,40.8629946441076,-73.89745729383341
124TH STREET CR/SRO,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),d046509812312e83c2edcf1a61483a2d,,
1332 FULTON AVE DCC,1332,FULTON AVENUE,1332 FULTON AVENUE,BRONX,10456.0,Bronx,2.0,2009685.0,2029310015.0,203.0,BX35,16.0,42.0,014900,DAY CARE,77.0,POINT (-73.9024957019854 40.8329825077147),e458cb83e477bb3189071b691ce393d5,40.8329825077147,-73.9024957019854
1332 FULTON AVE DCC,1332,FULTON AVENUE,1332 FULTON AVENUE,BRONX,10456.0,Bronx,2.0,2009685.0,2029310015.0,203.0,BX35,16.0,42.0,014900,EARLY EDUCATION PROGRAM,,POINT (-73.9024957019854 40.8329825077147),a82e6b54d482c5c6e4efad3402a75e5b,40.8329825077147,-73.9024957019854
161ST STREET - TINTON AVENUE,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),688614d5e1c1a9c29f1ab8df0b1deab0,,
162ND STREET RESIDENCE SUPPORTED,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),b8d17d428980cafbc773fc652994aca9,,
3467 READY SET LEARN,3467,THIRD AVENUE,3467 THIRD AVENUE,BRONX,10456.0,Bronx,2.0,2098317.0,2023720041.0,203.0,BX01,16.0,42.0,014500,EARLY EDUCATION PROGRAM,,POINT (-73.90673451389699 40.8298840242917),726c4ee1de353fe25ff712fa6ec9ae83,40.8298840242917,-73.90673451389699
3RD AVENUE LA CASA,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),15aa39983a8e88909a4815df296f3bfd,,
4 ANGELS DAY CARE INC.,178,SIMONSON AVENUE,178 SIMONSON AVENUE,STATEN ISLAND,10303.0,Staten Island,5.0,5127625.0,5011900065.0,501.0,SI12,49.0,121.0,023100,EARLY EDUCATION PROGRAM,,POINT (-74.15243367455541 40.63238384152721),d3ce6f7666b708a3b43ca0f0efb0fc55,40.63238384152721,-74.15243367455541
"4 ANGELS DAY CARE, INC.",245,SIMONSON AVENUE,245 SIMONSON AVENUE,STATEN ISLAND,10303.0,Staten Island,5.0,5026928.0,5011760042.0,501.0,SI12,49.0,121.0,023900,EARLY EDUCATION PROGRAM,,POINT (-74.1521394459907 40.630451708796),b962ad5f436547fa25fc0a64c81d95d0,40.630451708796,-74.1521394459907
"43RD STREET KIDS PRESCHOOL, INC.",484,WEST 43 STREET,484 WEST 43 STREET,NEW YORK,10036.0,Manhattan,1.0,1083746.0,1010520001.0,104.0,MN15,3.0,10.0,012100,DAY CARE,,POINT (-73.99475434240181 40.7597348224466),0a3d4bad38a11a88a70c7e48edadeda0,40.7597348224466,-73.9947543424018
5015 WORLDTOTS,5015,6 AVENUE,5015 6 AVENUE,BROOKLYN,11220.0,Brooklyn,3.0,3393312.0,3007937501.0,307.0,BK34,38.0,72.0,009800,EARLY EDUCATION PROGRAM,,POINT (-74.008241 40.643265),06d0acc279c6a5be73bfd0a4dc436ac0,40.643265,-74.008241
74 AVENUE A,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),c26fdbce8e0812f37d9e5b140ca08f14,,
82ND STREET ACADEMICS,81-10,35 AVENUE,81-10 35 AVENUE,JACKSON HEIGHTS,11372.0,Queens,4.0,4029684.0,4012810001.0,403.0,QN28,25.0,115.0,028300,EARLY EDUCATION PROGRAM,,POINT (-73.885260494424 40.75149908234879),49525300b9acd759de9ef2094f812506,40.75149908234879,-73.885260494424
82ND STREET ACADEMICS AFTERSCHOOL PROGRAMS,,51 AVENUE,1-50 51 AVENUE,LONG ISLAND CITY,11101.0,Queens,4.0,,4000060008.0,402.0,QN31,26.0,30.0,000100,AFTERSCHOOL PROGRAMS,,POINT (-73.95919555430001 40.7429555453),ae2aea263753a80a0f09675ad38707b4,40.7429555453,-73.95919555430001
82ND STREET ACADEMICS AFTERSCHOOL PROGRAMS,34-20,94 STREET,34-20 94 STREET,JACKSON HEIGHTS,11372.0,Queens,4.0,4541605.0,4014540018.0,403.0,QN28,25.0,115.0,027300,AFTERSCHOOL PROGRAMS,,POINT (-73.8739373037434 40.7538215834339),124eff9cf4143ba7cff203874c22bd15,40.7538215834339,-73.8739373037434
82ND STREET ACADEMICS AFTERSCHOOL PROGRAMS,35-59,81 STREET,35-59 81 STREET,JACKSON HEIGHTS,11372.0,Queens,4.0,4029691.0,4012810038.0,403.0,QN28,25.0,115.0,028300,AFTERSCHOOL PROGRAMS,,POINT (-73.8848148556076 40.7499234767434),cf2844ac0247b1ea441544dfe2b89f4e,40.7499234767434,-73.8848148556076
A & E CAROUSEL DAYCARE,150,CLERMONT AVENUE,150 CLERMONT AVENUE,BROOKLYN,11205.0,Brooklyn,3.0,3391941.0,3020457501.0,302.0,BK68,35.0,88.0,018700,DAY CARE,,POINT (-73.971295 40.69348),23d5a3bcd09f8c0b6d0e8c1f2ff17894,40.69348,-73.971295
"A CASTLE FOR CLASSY KIDS LEARNING CENTER, INC.",2570,PITKIN AVENUE,2570 PITKIN AVENUE,BROOKLYN,11208.0,Brooklyn,3.0,3336165.0,3040240018.0,305.0,BK82,37.0,75.0,119400,EARLY EDUCATION PROGRAM,,POINT (-73.87734311273501 40.6743841834835),6355f2c6b166ea74830f81cdc3b30419,40.674384183483504,-73.877343112735
A CHILD'S PLACE TOO - 108TH STREET,32-20,108 STREET,32-20 108 STREET,EAST ELMHURST,11369.0,Queens,4.0,4535511.0,4017020034.0,403.0,QN27,21.0,115.0,037300,EARLY EDUCATION PROGRAM,,POINT (-73.86155804608029 40.7593074479274),e2ab1bf445ea3f12610b46fe47c90461,40.7593074479274,-73.86155804608029
"A CHILD'S PLACE TOO, INC.",100-10,ASTORIA BOULEVARD,100-10 ASTORIA BOULEVARD,EAST ELMHURST,11369.0,Queens,4.0,4041756.0,4016880002.0,403.0,QN27,21.0,115.0,036300,EARLY EDUCATION PROGRAM,,POINT (-73.86891144798841 40.76148020603579),5e7a49382f2e51abe78755ac19f92c3b,40.76148020603579,-73.86891144798841
A CHILDS PLACE TOO,107-17,NORTHERN BOULEVARD,107-17 NORTHERN BOULEVARD,CORONA,11368.0,Queens,4.0,4042209.0,4017020058.0,403.0,QN27,21.0,115.0,037300,ELEMENTARY SCHOOL - NON-PUBLIC,,POINT (-73.8612435977638 40.7581200938696),34337adcf88267dc6a785ff382268e4a,40.7581200938696,-73.8612435977638
A FANTIS PAROCHIAL SCHOOL,195,STATE STREET,195 STATE STREET,BROOKLYN,11201.0,Brooklyn,3.0,3329468.0,3002710032.0,302.0,BK09,33.0,84.0,000900,ELEMENTARY SCHOOL - NON-PUBLIC,,POINT (-73.99133584398341 40.6902959031776),2fb8ccba64f1ceb2176555bc960714f7,40.6902959031776,-73.9913358439834
A HOUSE ON BEEKMAN PRESCHOOL,390,JACKSON AVENUE,390 JACKSON AVENUE,BRONX,10454.0,Bronx,2.0,2003865.0,2025730071.0,201.0,BX39,8.0,40.0,003500,EARLY EDUCATION PROGRAM,,POINT (-73.91029130476559 40.8088861601139),164f1bfce2425cc8db605227e2fad97f,40.8088861601139,-73.9102913047656
A PLACE OF MIRACLES,1838,ADEE AVENUE,1838 ADEE AVENUE,BRONX,10469.0,Bronx,2.0,2062621.0,2047910006.0,212.0,BX13,12.0,47.0,046202,DAY CARE,,POINT (-73.83657467183609 40.8706191466711),d4df2309a817380adf04af318b485127,40.870619146671096,-73.83657467183609
A PLUS KIDZ ACADEMY,10504,FLATLANDS AVENUE,10504 FLATLANDS AVENUE,BROOKLYN,11236.0,Brooklyn,3.0,3230594.0,3082130039.0,318.0,BK50,46.0,69.0,098400,ELEMENTARY SCHOOL - NON-PUBLIC,,POINT (-73.89426999999999 40.647449),80e96641fc413d7a01c9441688ea198d,40.647449,-73.89426999999999
"A TO Z CENTER TOO, INC.",220-24,JAMAICA AVENUE,220-24 JAMAICA AVENUE,QUEENS VILLAGE,11428.0,Queens,4.0,4231222.0,4107890271.0,413.0,QN34,27.0,105.0,056800,EARLY EDUCATION PROGRAM,,POINT (-73.7335079317491 40.719070501028),70f0ac193c783026c6d0ea33424d1dc2,40.719070501028,-73.7335079317491
A TO Z DAY CARE CENTER,3053,AVENUE U,3053 AVENUE U,BROOKLYN,11229.0,Brooklyn,3.0,3199284.0,3073400046.0,315.0,BK44,46.0,61.0,056800,EARLY EDUCATION PROGRAM,,POINT (-73.9368665118901 40.6011664599454),7aeae39f17fd936278db4de01434d4d2,40.6011664599454,-73.9368665118901
A. FANTIS PAROCHIAL SCHOOL,195,STATE STREET,195 STATE STREET,BROOKLYN,11201.0,Brooklyn,3.0,3329468.0,3002710032.0,302.0,BK09,33.0,84.0,000900,EARLY EDUCATION PROGRAM,,POINT (-73.99133584398341 40.6902959031776),b70382def9cb025f63debde59c2bc68a,40.6902959031776,-73.9913358439834
A.C.E. ACADEMY FOR SCHOLARS AT THE GERALDINE FERRARO CAMPUS,55-20,METROPOLITAN AVENUE,55-20 METROPOLITAN AVENUE,RIDGEWOOD,11385.0,Queens,4.0,4080234.0,4033650027.0,405.0,QN20,30.0,104.0,059500,ELEMENTARY SCHOOL - PUBLIC,534.0,POINT (-73.9082263807589 40.712611940498),43be8a56a2aa0c83491e76d622fa663f,40.712611940498,-73.9082263807589
A.C.T. COMMUNITY RESIDENCE,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),0a85cb245beff957260274a4623cc046,,
"A2Z HAPPYLAND II, LLC",2148,OCEAN AVENUE,2148 OCEAN AVENUE,BROOKLYN,11229.0,Brooklyn,3.0,3413743.0,3067820038.0,315.0,BK44,48.0,61.0,055000,DAY CARE,,POINT (-73.95371998951549 40.6093277882569),4bbac7387eaeaec42e4d179821acf6e5,40.6093277882569,-73.95371998951549
"A2Z HAPPYLAND, LLC.",2150,OCEAN AVENUE,2150 OCEAN AVENUE,BROOKLYN,11229.0,Brooklyn,3.0,,3067820038.0,315.0,BK44,48.0,61.0,055000,EARLY EDUCATION PROGRAM,,POINT (-73.95374200000001 40.609327),a5286b0e692c23456b5c68fe51b591c2,40.609327,-73.953742
"A2Z KIDZ CENTER, LLC",190,EXETER STREET,190 EXETER STREET,BROOKLYN,11235.0,Brooklyn,3.0,3246120.0,3087360026.0,315.0,BK17,48.0,61.0,062000,EARLY EDUCATION PROGRAM,,POINT (-73.948600678595 40.57767068302721),ad17dc742e5f2abb03bdcc127e523555,40.57767068302721,-73.948600678595
AARON SCHOOL (K-7),309,EAST 45 STREET,309 EAST 45 STREET,NEW YORK,10017.0,Manhattan,1.0,1038770.0,1013380005.0,106.0,MN19,4.0,17.0,009000,ELEMENTARY SCHOOL - NON-PUBLIC,,POINT (-73.96994489107159 40.7517729204219),900a0d32f9c97995112e26237b5edfca,40.7517729204219,-73.96994489107159
ABC / ECHO PARK ECDC,1841,PARK AVENUE,1841 PARK AVENUE,NEW YORK,10035.0,Manhattan,1.0,1054495.0,1017750001.0,111.0,MN34,9.0,25.0,024200,EARLY EDUCATION PROGRAM,,POINT (-73.93801918500041 40.8056918707119),e46996537a438897222701c1237de1d4,40.8056918707119,-73.93801918500041
ABC CHILD CENTER,109,NASSAU AVENUE,109 NASSAU AVENUE,BROOKLYN,11222.0,Brooklyn,3.0,3066150.0,3026480035.0,301.0,BK76,33.0,94.0,057100,DAY CARE,,POINT (-73.9496519382763 40.7243847379664),96cfcd96e7482a7d1104ed807f76a127,40.724384737966396,-73.9496519382763
ABC EARLY LEARNING CENTER,54-25,LITTLE NECK PARKWAY,54-25 LITTLE NECK PARKWAY,LITTLE NECK,11362.0,Queens,4.0,4171722.0,4082740146.0,411.0,QN45,19.0,111.0,150702,DAY CARE,,POINT (-73.72535277806401 40.7666622763121),007f3ee9d4f33e90e9b25c8d3adee3f8,40.766662276312104,-73.725352778064
ABC ECHO PARK EARLY CHILDHOOD CENTER,1841,PARK AVENUE,1841 PARK AVENUE,NEW YORK,10035.0,Manhattan,1.0,1054495.0,1017750001.0,111.0,MN34,9.0,25.0,024200,DAY CARE,,POINT (-73.93801918500041 40.8056918707119),3f86256b4632c0757bda493e0f219cad,40.8056918707119,-73.93801918500041
ABC INFANT & TODDLER CENTER,109,NASSAU AVENUE,109 NASSAU AVENUE,BROOKLYN,11222.0,Brooklyn,3.0,3066150.0,3026480035.0,301.0,BK76,33.0,94.0,057100,DAY CARE,,POINT (-73.9496519382763 40.7243847379664),6242ab8b0f3e254514fff139792494f2,40.724384737966396,-73.9496519382763
ABC KIDDIELAND DAY CARE CENTER,67-05,ROOSEVELT AVENUE,67-05 ROOSEVELT AVENUE,WOODSIDE,11377.0,Queens,4.0,4028083.0,4012230020.0,402.0,QN63,26.0,108.0,026300,EARLY EDUCATION PROGRAM,,POINT (-73.89784383693529 40.746349185213),272ca37155d7f00f8b74abc152caf937,40.746349185213,-73.8978438369353
"ABC KIDDIELAND, INC",65-21,ROOSEVELT AVENUE,65-21 ROOSEVELT AVENUE,WOODSIDE,11377.0,Queens,4.0,4028089.0,4012230026.0,402.0,QN63,26.0,108.0,026300,DAY CARE,,POINT (-73.8982991300028 40.7463314852571),08958a1c42548feff78701062d2d4e21,40.7463314852571,-73.8982991300028
"ABC KIDDIELAND, INC.",65-21A,ROOSEVELT AVENUE,65-21A ROOSEVELT AVENUE,WOODSIDE,11377.0,,,,,402.0,QN63,26.0,108.0,026300,EARLY EDUCATION PROGRAM,,POINT (nan nan),80781798245a4fcc3bcf83e76646edac,,
ABC LITTLE STAR INC,2345,85 STREET,2345 85 STREET,BROOKLYN,11214.0,Brooklyn,3.0,3185233.0,3068550060.0,311.0,BK29,47.0,62.0,029800,DAY CARE,,POINT (-73.9896304713711 40.6006162258824),34352be2d36c2b91f0ca3f6edaca8d85,40.6006162258824,-73.9896304713711
ABC PLUS,1018,BANNER AVENUE,1018 BANNER AVENUE,BROOKLYN,11235.0,Brooklyn,3.0,3247959.0,3088090031.0,315.0,BK17,48.0,61.0,060800,EARLY EDUCATION PROGRAM,,POINT (-73.9593381310266 40.58339297252621),8f2e41db57bbb22a42ff5887ac594a44,40.583392972526205,-73.9593381310266
"ABC PRESCHOOL & KINDERGARTEN CENTER, CORP",66-20,LAUREL HILL BOULEVARD,66-20 LAUREL HILL BOULEVARD,WOODSIDE,11377.0,Queens,4.0,4056053.0,4024190034.0,402.0,QN50,30.0,108.0,024300,EARLY EDUCATION PROGRAM,,POINT (-73.89804822926858 40.73954455605),66f472520feb7e81d03cbc2ea76524b7,40.73954455605,-73.89804822926858
ABC SSMHDC INC.,235,CYPRESS AVENUE,235 CYPRESS AVENUE,BRONX,10454.0,Bronx,2.0,2003611.0,2025500038.0,201.0,BX39,8.0,40.0,002701,DAY CARE,,POINT (-73.91493827066279 40.8055127614087),a3d955457f124a987cd7f422779ee250,40.8055127614087,-73.91493827066279
ABRAHAM HOUSE AFTERSCHOOL PROGRAMS,340,WILLIS AVENUE,340 WILLIS AVENUE,BRONX,10454.0,Bronx,2.0,2000363.0,2022860006.0,201.0,BX39,8.0,40.0,004100,AFTERSCHOOL PROGRAMS,,POINT (-73.92098892331479 40.8111686187227),3845a228d49c2b6600d9f0c958bd14b2,40.811168618722704,-73.9209889233148
ABRAHAM HOUSE INC.,342,WILLIS AVENUE,342 WILLIS AVENUE,BRONX,10454.0,Bronx,2.0,2000364.0,2022860006.0,201.0,BX39,8.0,40.0,004100,FOOD PANTRY,,POINT (-73.92100820667629 40.8112376893203),bad09f45bd308debcd938b2955f5a876,40.8112376893203,-73.92100820667629
ABRAHAM JOSHUA HESCHEL SCHOOL,30,WEST END AVENUE,30 WEST END AVENUE,NEW YORK,10023.0,Manhattan,1.0,1088889.0,1011520058.0,107.0,MN14,6.0,20.0,014700,ELEMENTARY SCHOOL - NON-PUBLIC,,POINT (-73.989245141054 40.7724906631889),dbf570f6fc15180c54030b371a2e45cf,40.7724906631889,-73.989245141054
ABRAHAM RESIDENCE III,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),afc9ed1120721f7570ccc1e28ffdf669,,
ABRIGO DEL ALTISIMO,2009,MONTEREY AVENUE,2009 MONTEREY AVENUE,BRONX,10457.0,Bronx,2.0,2011839.0,2030610031.0,206.0,BX17,15.0,48.0,037504,FOOD PANTRY,,POINT (-73.8947773215145 40.8480060520023),ce64765b407c0b37f0bd4c642e3a6f2d,40.8480060520023,-73.8947773215145
ABUNDANT GRACE FOR THE FORSAKEN FOOD PANTRY,3101,EASTCHESTER ROAD,3101 EASTCHESTER ROAD,BRONX,10469.0,Bronx,2.0,2095092.0,2047610050.0,212.0,BX03,12.0,47.0,035800,FOOD PANTRY,,POINT (-73.8439723769785 40.8713213727006),82918db853360e8040b90ffdbeb435a7,40.8713213727006,-73.8439723769785
ABUNDANT LIFE TABERNACLE INC,2692,3 AVENUE,2692 3 AVENUE,BRONX,10454.0,Bronx,2.0,2000653.0,2023060004.0,201.0,BX39,8.0,40.0,004100,FOOD PANTRY,,POINT (-73.92222053925809 40.81337455499821),952a6f593f7cbd6e79f626a23e23c3ea,40.813374554998205,-73.92222053925809
"ACAD OF LITTLE LEADERS DAYCARE, INC",145-88,GUY R BREWER BOULEVARD,145-88 GUY R BREWER BOULEVARD,JAMAICA,11434.0,Queens,4.0,4448951.0,4133100051.0,413.0,QN03,31.0,105.0,032000,DAY CARE,,POINT (-73.7686968274938 40.6635612626299),2913f2c8cbaf511316fe9c27a12f61a3,40.6635612626299,-73.7686968274938
ACADEMY OF EXCELLENCE BELL PARK 7,178-36,WEXFORD TERRACE,178-36 WEXFORD TERRACE,JAMAICA,11432.0,Queens,4.0,4534092.0,4099377501.0,408.0,QN06,24.0,107.0,046600,EARLY EDUCATION PROGRAM,,POINT (-73.78428000000001 40.71328),21ae52a0a66439cfb5c328b0b6c6539f,40.71328,-73.78428000000001
ACADEMY OF SAINT DOROTHY,1305,HYLAN BOULEVARD,1305 HYLAN BOULEVARD,STATEN ISLAND,10305.0,Staten Island,5.0,5107505.0,5032150001.0,502.0,SI36,50.0,122.0,009601,EARLY EDUCATION PROGRAM,,POINT (-74.0864604614836 40.59744008092721),6e364de50dda64252f15b36c919533fc,40.59744008092721,-74.0864604614836
ACADEMY OF ST DOROTHY,1305,HYLAN BOULEVARD,1305 HYLAN BOULEVARD,STATEN ISLAND,10305.0,Staten Island,5.0,5107505.0,5032150001.0,502.0,SI36,50.0,122.0,009601,ELEMENTARY SCHOOL - NON-PUBLIC,,POINT (-74.0864604614836 40.59744008092721),1d23fc32057201878d3cf036d9561595,40.59744008092721,-74.0864604614836
ACADEMY OF ST JOSEPH,111,WASHINGTON PLACE,111 WASHINGTON PLACE,NEW YORK,10014.0,Manhattan,1.0,1010253.0,1005920072.0,102.0,MN23,3.0,6.0,007100,ELEMENTARY SCHOOL - NON-PUBLIC,,POINT (-74.00092992925059 40.73266375021939),dba7944452fc5ff934e8df72a6d14f49,40.732663750219395,-74.00092992925059
ACCESS HOUSE,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),47d9b1b719b01263068cc57cc5ff4f22,,
ACE EARLY CHILDHOOD CENTER,199,14 STREET,199 14 STREET,BROOKLYN,11215.0,Brooklyn,3.0,3023430.0,3010340068.0,306.0,BK37,39.0,78.0,014100,EARLY EDUCATION PROGRAM,,POINT (-73.9904244048513 40.6671578205644),66ecc1ddd3cdc1b0618c4a1cbabd16b3,40.6671578205644,-73.9904244048513
ACE INTEGRATION HEAD START,1419,BROADWAY,1419 BROADWAY,BROOKLYN,11221.0,Brooklyn,3.0,3251950.0,3033570006.0,304.0,BK78,34.0,83.0,039700,DAY CARE,90.0,POINT (-73.92013481373291 40.6887053183011),2a1550906225db0ecbbe24cdaf83b646,40.6887053183011,-73.92013481373291
ACE INTEGRATION HEAD START,1419,BROADWAY,1419 BROADWAY,BROOKLYN,11221.0,Brooklyn,3.0,3251950.0,3033570006.0,304.0,BK78,34.0,83.0,039700,EARLY EDUCATION PROGRAM,,POINT (-73.92013481373291 40.6887053183011),57d04b9441d55dc92233e0f9d2fda826,40.6887053183011,-73.92013481373291
ACH TOV V'CHESED,27,SKILLMAN STREET,27 SKILLMAN STREET,BROOKLYN,11205.0,Brooklyn,3.0,3054228.0,3018860014.0,303.0,BK75,33.0,79.0,123700,ELEMENTARY SCHOOL - NON-PUBLIC,,POINT (-73.9574833400859 40.6978109704785),77b9400f8a77ba3bae03df8c07c7bf67,40.6978109704785,-73.9574833400859
ACHIEVEMENT FIRST AFTERSCHOOL PROGRAMS,1300,GREENE AVENUE,1300 GREENE AVENUE,BROOKLYN,11237.0,Brooklyn,3.0,3075413.0,3032980001.0,304.0,BK77,37.0,83.0,043100,AFTERSCHOOL PROGRAMS,,POINT (-73.91927439386271 40.697759209546),479cb809875b355f0f94995585fe1fc6,40.697759209546,-73.91927439386271
ACMH - SH/PC LONG STAY CREEDMOOR PC QUEENS - COMM. SVCS,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),038ad53ced10b4cd961047320df201f1,,
